Solution_Type_Code,Solution,Solution_Code,Hazard,Crop_Name,Crop_Code,Yield_Effect_Percentage,Reference,Evidence
st1,Drought-tolerant varieties,s1,Drought,Maize,c1,15.00,https://doi.org/10.1016/j.landusepol.2019.104091,
st1,Heat-tolerant varieties,s2,Heat,Maize,c1,9.09,https://www.sciencedirect.com/science/article/pii/S2212096317300645?via%3Dihub,"Accordingly, heat-tolerant varieties had higher (+2 deg C) Topt2 and Tmax values than current maize varieties."
st1,Drought-tolerant varieties,s1,Drought,Millet,c2,30.00,https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=19408,"Chakti matures 40 days earlier and has a 30% greater yield compared to local varieties, as well as resistance to downy mildew disease"
st1,Heat-tolerant varieties,s2,Heat,Millet,c2,23.81,https://onlinelibrary.wiley.com/doi/10.1111/pce.12931,"Butt et al. (2005) projected the impact of climate change scenarios (Hadley Centre Coupled Model and Coupled General Circulation Model) in Mali and showed that grain yield of pearl millet will decrease between 6% and 12%, respectively, without adoption of HT tolerant genotypes; however, with adoption of HT tolerant genotypes, the decreases was smaller and ranged between 0.7% and 8%. The temperature ceiling (where seed yield was almost zero) for season long stress for dwarf pearl millet hybrid identified in this study was 42/22 deg C, which is relatively higher than other crops"
st1,Drought-tolerant varieties,s1,Drought,Wheat,c3,50.00,https://www.croptrust.org/news-events/news/new-drought-tolerant-durum-wheat-variety-proves-its-worth-in-morocco/,New variety 'Jawahir' yielded ~1.5 t/ha vs 1.0 t/ha for older variety under drought
st1,Heat-tolerant varieties,s2,Heat,Wheat,c3,11.76,https://e-catalogs.taat-africa.org/com/technologies/heat-and-drought-tolerant-wheat-varieties,They can withstand temperatures that are 4 deg C higher than normal and show 75% of their yield potential under extreme conditions of less than 200mm of moisture and heat stress.
st1,Drought-tolerant varieties,s1,Drought,Rice,c4,24.00,https://www.cgiar.org/annual-report/performance-report-2019/increased-yield-with-drought-tolerant-rice/,"Benin, Madagascar and Nigeria. It was found that the adoption of DTRVs has helped smallholder farmers to increase rice yields by 570 kilograms per hectare, which corresponds to an increase of 24%"
st1,Heat-tolerant varieties,s2,Heat,Rice,c4,6.98,https://link.springer.com/article/10.1007/s11027-022-10027-4,Varieties with a 3 deg C higher temperature tolerance should be bred and introduced until the 2040s under representative concentration pathways (RCPs) 2.6 and 8.5
st1,Drought-tolerant varieties,s1,Drought,Beans,c5,50.00,https://farmbizafrica.com/high-yielding-drought-resistant-bean-variety-that-matures-in-two-months-is-ready-for-market/,"Bean farmers in Kenya can now harvest up to 600kg per acre in just two months, thanks to a new high yielding variety dubbed Kenya Mali or KAT SW-12 launched in the market two years ago, drought due to its deep roots and can grow well in any ecological region in the country"
st1,Heat-tolerant varieties,s2,Heat,Beans,c5,11.76,https://allianceforscience.org/blog/2015/04/ciat-scientists-develop-heat-beater-beans-that-could-enhance-food-security/,
st1,Drought-tolerant varieties,s1,Drought,Cassava,c6,600.00,https://www.iita.org/news-item/farmers-get-better-yields-new-drought-tolerant-cassava/,Cassava farmers in the semi-arid zones of sub-Saharan Africa are now enjoying 6-10 times better yields thanks to a new variety developed by IITA that is well-adapted to the dry or drought-prone conditions of the region
